fips,POPESTIMATE2019,CTYNAME
1000,4903185,Alabama
1001,55869,Autauga County
1003,223234,Baldwin County
1005,24686,Barbour County
1007,22394,Bibb County
1009,57826,Blount County
1011,10101,Bullock County
1013,19448,Butler County
1015,113605,Calhoun County
1017,33254,Chambers County
1019,26196,Cherokee County
1021,44428,Chilton County
1023,12589,Choctaw County
1025,23622,Clarke County
1027,13235,Clay County
1029,14910,Cleburne County
1031,52342,Coffee County
1033,55241,Colbert County
1035,12067,Conecuh County
1037,10663,Coosa County
1039,37049,Covington County
1041,13772,Crenshaw County
1043,83768,Cullman County
1045,49172,Dale County
1047,37196,Dallas County
1049,71513,DeKalb County
1051,81209,Elmore County
1053,36633,Escambia County
1055,102268,Etowah County
1057,16302,Fayette County
1059,31362,Franklin County
1061,26271,Geneva County
1063,8111,Greene County
1065,14651,Hale County
1067,17205,Henry County
1069,105882,Houston County
1071,51626,Jackson County
1073,658573,Jefferson County
1075,13805,Lamar County
1077,92729,Lauderdale County
1079,32924,Lawrence County
1081,164542,Lee County
1083,98915,Limestone County
1085,9726,Lowndes County
1087,18068,Macon County
1089,372909,Madison County
1091,18863,Marengo County
1093,29709,Marion County
1095,96774,Marshall County
1097,413210,Mobile County
1099,20733,Monroe County
1101,226486,Montgomery County
1103,119679,Morgan County
1105,8923,Perry County
1107,19930,Pickens County
1109,33114,Pike County
1111,22722,Randolph County
1113,57961,Russell County
1115,89512,St. Clair County
1117,217702,Shelby County
1119,12427,Sumter County
1121,79978,Talladega County
1123,40367,Tallapoosa County
1125,209355,Tuscaloosa County
1127,63521,Walker County
1129,16326,Washington County
1131,10373,Wilcox County
1133,23629,Winston County
2000,731545,Alaska
2013,3337,Aleutians East Borough
2016,5634,Aleutians West Census Area
2020,288000,Anchorage Municipality
2050,18386,Bethel Census Area
2060,836,Bristol Bay Borough
2068,2097,Denali Borough
2070,4916,Dillingham Census Area
2090,96849,Fairbanks North Star Borough
2100,2530,Haines Borough
2105,2148,Hoonah-Angoon Census Area
2110,31974,Juneau City and Borough
2122,58708,Kenai Peninsula Borough
2130,13901,Ketchikan Gateway Borough
2150,12998,Kodiak Island Borough
2158,8314,Kusilvak Census Area
2164,1592,Lake and Peninsula Borough
2170,108317,Matanuska-Susitna Borough
2180,10004,Nome Census Area
2185,9832,North Slope Borough
2188,7621,Northwest Arctic Borough
2195,3266,Petersburg Borough
2198,6203,Prince of Wales-Hyder Census Area
2220,8493,Sitka City and Borough
2230,1183,Skagway Municipality
2240,6893,Southeast Fairbanks Census Area
2261,9202,Valdez-Cordova Census Area
2275,2502,Wrangell City and Borough
2282,579,Yakutat City and Borough
2290,5230,Yukon-Koyukuk Census Area
4000,7278717,Arizona
4001,71887,Apache County
4003,125922,Cochise County
4005,143476,Coconino County
4007,54018,Gila County
4009,38837,Graham County
4011,9498,Greenlee County
4012,21108,La Paz County
4013,4485414,Maricopa County
4015,212181,Mohave County
4017,110924,Navajo County
4019,1047279,Pima County
4021,462789,Pinal County
4023,46498,Santa Cruz County
4025,235099,Yavapai County
4027,213787,Yuma County
5000,3017804,Arkansas
5001,17486,Arkansas County
5003,19657,Ashley County
5005,41932,Baxter County
5007,279141,Benton County
5009,37432,Boone County
5011,10763,Bradley County
5013,5189,Calhoun County
5015,28380,Carroll County
5017,10118,Chicot County
5019,22320,Clark County
5021,14551,Clay County
5023,24919,Cleburne County
5025,7956,Cleveland County
5027,23457,Columbia County
5029,20846,Conway County
5031,110332,Craighead County
5033,63257,Crawford County
5035,47955,Crittenden County
5037,16419,Cross County
5039,7009,Dallas County
5041,11361,Desha County
5043,18219,Drew County
5045,126007,Faulkner County
5047,17715,Franklin County
5049,12477,Fulton County
5051,99386,Garland County
5053,18265,Grant County
5055,45325,Greene County
5057,21532,Hempstead County
5059,33771,Hot Spring County
5061,13202,Howard County
5063,37825,Independence County
5065,13629,Izard County
5067,16719,Jackson County
5069,66824,Jefferson County
5071,26578,Johnson County
5073,6624,Lafayette County
5075,16406,Lawrence County
5077,8857,Lee County
5079,13024,Lincoln County
5081,12259,Little River County
5083,21466,Logan County
5085,73309,Lonoke County
5087,16576,Madison County
5089,16694,Marion County
5091,43257,Miller County
5093,40651,Mississippi County
5095,6701,Monroe County
5097,8986,Montgomery County
5099,8252,Nevada County
5101,7753,Newton County
5103,23382,Ouachita County
5105,10455,Perry County
5107,17782,Phillips County
5109,10718,Pike County
5111,23528,Poinsett County
5113,19964,Polk County
5115,64072,Pope County
5117,8062,Prairie County
5119,391911,Pulaski County
5121,17958,Randolph County
5123,24994,St. Francis County
5125,122437,Saline County
5127,10281,Scott County
5129,7881,Searcy County
5131,127827,Sebastian County
5133,17007,Sevier County
5135,17442,Sharp County
5137,12506,Stone County
5139,38682,Union County
5141,16545,Van Buren County
5143,239187,Washington County
5145,78753,White County
5147,6320,Woodruff County
5149,21341,Yell County
6000,39512223,California
6001,1671329,Alameda County
6003,1129,Alpine County
6005,39752,Amador County
6007,219186,Butte County
6009,45905,Calaveras County
6011,21547,Colusa County
6013,1153526,Contra Costa County
6015,27812,Del Norte County
6017,192843,El Dorado County
6019,999101,Fresno County
6021,28393,Glenn County
6023,135558,Humboldt County
6025,181215,Imperial County
6027,18039,Inyo County
6029,900202,Kern County
6031,152940,Kings County
6033,64386,Lake County
6035,30573,Lassen County
6037,10039107,Los Angeles County
6039,157327,Madera County
6041,258826,Marin County
6043,17203,Mariposa County
6045,86749,Mendocino County
6047,277680,Merced County
6049,8841,Modoc County
6051,14444,Mono County
6053,434061,Monterey County
6055,137744,Napa County
6057,99755,Nevada County
6059,3175692,Orange County
6061,398329,Placer County
6063,18807,Plumas County
6065,2470546,Riverside County
6067,1552058,Sacramento County
6069,62808,San Benito County
6071,2180085,San Bernardino County
6073,3338330,San Diego County
6075,881549,San Francisco County
6077,762148,San Joaquin County
6079,283111,San Luis Obispo County
6081,766573,San Mateo County
6083,446499,Santa Barbara County
6085,1927852,Santa Clara County
6087,273213,Santa Cruz County
6089,180080,Shasta County
6091,3005,Sierra County
6093,43539,Siskiyou County
6095,447643,Solano County
6097,494336,Sonoma County
6099,550660,Stanislaus County
6101,96971,Sutter County
6103,65084,Tehama County
6105,12285,Trinity County
6107,466195,Tulare County
6109,54478,Tuolumne County
6111,846006,Ventura County
6113,220500,Yolo County
6115,78668,Yuba County
8000,5758736,Colorado
8001,517421,Adams County
8003,16233,Alamosa County
8005,656590,Arapahoe County
8007,14029,Archuleta County
8009,3581,Baca County
8011,5577,Bent County
8013,326196,Boulder County
8014,70465,Broomfield County
8015,20356,Chaffee County
8017,1831,Cheyenne County
8019,9700,Clear Creek County
8021,8205,Conejos County
8023,3887,Costilla County
8025,6061,Crowley County
8027,5068,Custer County
8029,31162,Delta County
8031,727211,Denver County
8033,2055,Dolores County
8035,351154,Douglas County
8037,55127,Eagle County
8039,26729,Elbert County
8041,720403,El Paso County
8043,47839,Fremont County
8045,60061,Garfield County
8047,6243,Gilpin County
8049,15734,Grand County
8051,17462,Gunnison County
8053,820,Hinsdale County
8055,6897,Huerfano County
8057,1392,Jackson County
8059,582881,Jefferson County
8061,1406,Kiowa County
8063,7097,Kit Carson County
8065,8127,Lake County
8067,56221,La Plata County
8069,356899,Larimer County
8071,14506,Las Animas County
8073,5701,Lincoln County
8075,22409,Logan County
8077,154210,Mesa County
8079,769,Mineral County
8081,13283,Moffat County
8083,26183,Montezuma County
8085,42758,Montrose County
8087,29068,Morgan County
8089,18278,Otero County
8091,4952,Ouray County
8093,18845,Park County
8095,4265,Phillips County
8097,17767,Pitkin County
8099,12172,Prowers County
8101,168424,Pueblo County
8103,6324,Rio Blanco County
8105,11267,Rio Grande County
8107,25638,Routt County
8109,6824,Saguache County
8111,728,San Juan County
8113,8179,San Miguel County
8115,2248,Sedgwick County
8117,31011,Summit County
8119,25388,Teller County
8121,4908,Washington County
8123,324492,Weld County
8125,10019,Yuma County
9000,3565287,Connecticut
9001,943332,Fairfield County
9003,891720,Hartford County
9005,180333,Litchfield County
9007,162436,Middlesex County
9009,854757,New Haven County
9011,265206,New London County
9013,150721,Tolland County
9015,116782,Windham County
10000,973764,Delaware
10001,180786,Kent County
10003,558753,New Castle County
10005,234225,Sussex County
11000,705749,District of Columbia
11001,705749,District of Columbia
12000,21477737,Florida
12001,269043,Alachua County
12003,29210,Baker County
12005,174705,Bay County
12007,28201,Bradford County
12009,601942,Brevard County
12011,1952778,Broward County
12013,14105,Calhoun County
12015,188910,Charlotte County
12017,149657,Citrus County
12019,219252,Clay County
12021,384902,Collier County
12023,71686,Columbia County
12027,38001,DeSoto County
12029,16826,Dixie County
12031,957755,Duval County
12033,318316,Escambia County
12035,115081,Flagler County
12037,12125,Franklin County
12039,45660,Gadsden County
12041,18582,Gilchrist County
12043,13811,Glades County
12045,13639,Gulf County
12047,14428,Hamilton County
12049,26937,Hardee County
12051,42022,Hendry County
12053,193920,Hernando County
12055,106221,Highlands County
12057,1471968,Hillsborough County
12059,19617,Holmes County
12061,159923,Indian River County
12063,46414,Jackson County
12065,14246,Jefferson County
12067,8422,Lafayette County
12069,367118,Lake County
12071,770577,Lee County
12073,293582,Leon County
12075,41503,Levy County
12077,8354,Liberty County
12079,18493,Madison County
12081,403253,Manatee County
12083,365579,Marion County
12085,161000,Martin County
12086,2716940,Miami-Dade County
12087,74228,Monroe County
12089,88625,Nassau County
12091,210738,Okaloosa County
12093,42168,Okeechobee County
12095,1393452,Orange County
12097,375751,Osceola County
12099,1496770,Palm Beach County
12101,553947,Pasco County
12103,974996,Pinellas County
12105,724777,Polk County
12107,74521,Putnam County
12109,264672,St. Johns County
12111,328297,St. Lucie County
12113,184313,Santa Rosa County
12115,433742,Sarasota County
12117,471826,Seminole County
12119,132420,Sumter County
12121,44417,Suwannee County
12123,21569,Taylor County
12125,15237,Union County
12127,553284,Volusia County
12129,33739,Wakulla County
12131,74071,Walton County
12133,25473,Washington County
13000,10617423,Georgia
13001,18386,Appling County
13003,8165,Atkinson County
13005,11164,Bacon County
13007,3038,Baker County
13009,44890,Baldwin County
13011,19234,Banks County
13013,83240,Barrow County
13015,107738,Bartow County
13017,16700,Ben Hill County
13019,19397,Berrien County
13021,153159,Bibb County
13023,12873,Bleckley County
13025,19109,Brantley County
13027,15457,Brooks County
13029,39627,Bryan County
13031,79608,Bulloch County
13033,22383,Burke County
13035,24936,Butts County
13037,6189,Calhoun County
13039,54666,Camden County
13043,10803,Candler County
13045,119992,Carroll County
13047,67580,Catoosa County
13049,13392,Charlton County
13051,289430,Chatham County
13053,10907,Chattahoochee County
13055,24789,Chattooga County
13057,258773,Cherokee County
13059,128331,Clarke County
13061,2834,Clay County
13063,292256,Clayton County
13065,6618,Clinch County
13067,760141,Cobb County
13069,43273,Coffee County
13071,45600,Colquitt County
13073,156714,Columbia County
13075,17270,Cook County
13077,148509,Coweta County
13079,12404,Crawford County
13081,22372,Crisp County
13083,16116,Dade County
13085,26108,Dawson County
13087,26404,Decatur County
13089,759297,DeKalb County
13091,20605,Dodge County
13093,13390,Dooly County
13095,87956,Dougherty County
