"DATE","FIPS","ABBR","STATE","COUNTY","CASES","DEATHS","EPI_RISK"
"2020-04-02",1001,"AL","Alabama","Autauga County",10,0,0.948678071539658
"2020-04-02",1003,"AL","Alabama","Baldwin County",25,1,0.990476190476191
"2020-04-02",1005,"AL","Alabama","Barbour County",0,0,0.0904
"2020-04-02",1007,"AL","Alabama","Bibb County",4,0,0.838218053927315
"2020-04-02",1009,"AL","Alabama","Blount County",6,0,0.891503267973856
"2020-04-02",1011,"AL","Alabama","Bullock County",2,0,0.698398576512456
"2020-04-02",1013,"AL","Alabama","Butler County",1,0,0.506832298136646
"2020-04-02",1015,"AL","Alabama","Calhoun County",12,0,0.9568
"2020-04-02",1017,"AL","Alabama","Chambers County",67,4,1
"2020-04-02",1019,"AL","Alabama","Cherokee County",4,0,0.838218053927315
"2020-04-02",1021,"AL","Alabama","Chilton County",14,0,0.978947368421053
"2020-04-02",1023,"AL","Alabama","Choctaw County",4,0,0.838218053927315
"2020-04-02",1025,"AL","Alabama","Clarke County",2,0,0.698398576512456
"2020-04-02",1027,"AL","Alabama","Clay County",7,0,0.910238429172511
"2020-04-02",1029,"AL","Alabama","Cleburne County",6,0,0.891503267973856
"2020-04-02",1031,"AL","Alabama","Coffee County",3,0,0.788259958071279
"2020-04-02",1033,"AL","Alabama","Colbert County",5,0,0.849812265331665
"2020-04-02",1035,"AL","Alabama","Conecuh County",1,0,0.506832298136646
"2020-04-02",1037,"AL","Alabama","Coosa County",6,0,0.891503267973856
"2020-04-02",1039,"AL","Alabama","Covington County",3,0,0.788259958071279
"2020-04-02",1041,"AL","Alabama","Crenshaw County",1,0,0.506832298136646
"2020-04-02",1043,"AL","Alabama","Cullman County",9,1,0.933734939759036
"2020-04-02",1045,"AL","Alabama","Dale County",1,0,0.506832298136646
"2020-04-02",1047,"AL","Alabama","Dallas County",4,0,0.838218053927315
"2020-04-02",1049,"AL","Alabama","DeKalb County",8,0,0.926241134751773
"2020-04-02",1051,"AL","Alabama","Elmore County",17,0,0.979166666666667
"2020-04-02",1053,"AL","Alabama","Escambia County",2,0,0.698398576512456
"2020-04-02",1055,"AL","Alabama","Etowah County",13,1,0.965579710144927
"2020-04-02",1057,"AL","Alabama","Fayette County",1,0,0.506832298136646
"2020-04-02",1059,"AL","Alabama","Franklin County",4,0,0.838218053927315
"2020-04-02",1061,"AL","Alabama","Geneva County",0,0,0.0904
"2020-04-02",1063,"AL","Alabama","Greene County",4,0,0.838218053927315
"2020-04-02",1065,"AL","Alabama","Hale County",1,0,0.506832298136646
"2020-04-02",1067,"AL","Alabama","Henry County",0,0,0.0904
"2020-04-02",1069,"AL","Alabama","Houston County",9,1,0.933734939759036
"2020-04-02",1071,"AL","Alabama","Jackson County",9,1,0.933734939759036
"2020-04-02",1073,"AL","Alabama","Jefferson County",332,5,1
"2020-04-02",1075,"AL","Alabama","Lamar County",1,0,0.506832298136646
"2020-04-02",1077,"AL","Alabama","Lauderdale County",14,2,0.978947368421053
"2020-04-02",1079,"AL","Alabama","Lawrence County",3,0,0.788259958071279
"2020-04-02",1081,"AL","Alabama","Lee County",91,3,1
"2020-04-02",1083,"AL","Alabama","Limestone County",25,0,0.990476190476191
"2020-04-02",1085,"AL","Alabama","Lowndes County",2,0,0.698398576512456
"2020-04-02",1087,"AL","Alabama","Macon County",4,0,0.838218053927315
"2020-04-02",1089,"AL","Alabama","Madison County",116,1,1
"2020-04-02",1091,"AL","Alabama","Marengo County",5,0,0.849812265331665
"2020-04-02",1093,"AL","Alabama","Marion County",11,2,0.949593495934959
"2020-04-02",1095,"AL","Alabama","Marshall County",7,0,0.910238429172511
"2020-04-02",1097,"AL","Alabama","Mobile County",69,4,1
"2020-04-02",1099,"AL","Alabama","Monroe County",3,0,0.788259958071279
"2020-04-02",1101,"AL","Alabama","Montgomery County",46,1,1
"2020-04-02",1103,"AL","Alabama","Morgan County",22,0,0.988610478359909
"2020-04-02",1105,"AL","Alabama","Perry County",0,0,0.0904
"2020-04-02",1107,"AL","Alabama","Pickens County",9,0,0.933734939759036
"2020-04-02",1109,"AL","Alabama","Pike County",7,0,0.910238429172511
"2020-04-02",1111,"AL","Alabama","Randolph County",6,0,0.891503267973856
"2020-04-02",1113,"AL","Alabama","Russell County",2,0,0.698398576512456
"2020-04-02",1115,"AL","Alabama","St. Clair County",19,0,0.983772819472617
"2020-04-02",1117,"AL","Alabama","Shelby County",101,3,1
"2020-04-02",1119,"AL","Alabama","Sumter County",4,0,0.838218053927315
"2020-04-02",1121,"AL","Alabama","Talladega County",8,0,0.926241134751773
"2020-04-02",1123,"AL","Alabama","Tallapoosa County",17,1,0.979166666666667
"2020-04-02",1125,"AL","Alabama","Tuscaloosa County",37,0,0.982857142857143
"2020-04-02",1127,"AL","Alabama","Walker County",34,0,0.988549618320611
"2020-04-02",1129,"AL","Alabama","Washington County",3,1,0.788259958071279
"2020-04-02",1131,"AL","Alabama","Wilcox County",5,0,0.849812265331665
"2020-04-02",1133,"AL","Alabama","Winston County",2,0,0.698398576512456
"2020-04-02",2013,"AK","Alaska","Aleutians East Borough",0,0,0.0904
"2020-04-02",2016,"AK","Alaska","Aleutians West Census Area",0,0,0.0904
"2020-04-02",2020,"AK","Alaska","Anchorage Municipality",66,2,1
"2020-04-02",2050,"AK","Alaska","Bethel Census Area",0,0,0.0904
"2020-04-02",2060,"AK","Alaska","Bristol Bay Borough",0,0,0.0904
"2020-04-02",2068,"AK","Alaska","Denali Borough",0,0,0.0904
"2020-04-02",2070,"AK","Alaska","Dillingham Census Area",0,0,0.0904
"2020-04-02",2090,"AK","Alaska","Fairbanks North Star Borough",42,0,0.988235294117647
"2020-04-02",2100,"AK","Alaska","Haines Borough",0,0,0.0904
"2020-04-02",2105,"AK","Alaska","Hoonah-Angoon Census Area",0,0,0.0904
"2020-04-02",2110,"AK","Alaska","Juneau City and Borough",10,0,0.948678071539658
"2020-04-02",2122,"AK","Alaska","Kenai Peninsula Borough",8,0,0.926241134751773
"2020-04-02",2130,"AK","Alaska","Ketchikan Gateway Borough",14,0,0.978947368421053
"2020-04-02",2150,"AK","Alaska","Kodiak Island Borough",0,0,0.0904
"2020-04-02",2158,"AK","Alaska","Kusilvak Census Area",0,0,0.0904
"2020-04-02",2164,"AK","Alaska","Lake and Peninsula Borough",0,0,0.0904
"2020-04-02",2170,"AK","Alaska","Matanuska-Susitna Borough",4,0,0.838218053927315
"2020-04-02",2180,"AK","Alaska","Nome Census Area",0,0,0.0904
"2020-04-02",2185,"AK","Alaska","North Slope Borough",0,0,0.0904
"2020-04-02",2188,"AK","Alaska","Northwest Arctic Borough",0,0,0.0904
"2020-04-02",2195,"AK","Alaska","Petersburg Census Area",0,0,0.0904
